player_name,game_id,game_date,y,y_pred
Zach Randolph,21600961,2017-03-09,0,0.11343664
Reggie Jackson,21600960,2017-03-09,5,5.141372
Russell Westbrook,21600962,2017-03-09,13,12.6686325
Davis Bertans,21600962,2017-03-09,0,0.09501642
Tony Allen,21600961,2017-03-09,4,3.909763
Danny Green,21600962,2017-03-09,3,2.532082
Alex Len,21600964,2017-03-09,0,0.06851907
Austin Rivers,21600961,2017-03-09,4,3.184845
Nick Young,21600964,2017-03-09,1,1.0133483
Jamal Crawford,21600961,2017-03-09,2,2.0239122
Domantas Sabonis,21600962,2017-03-09,2,1.8822262
Andre Drummond,21600960,2017-03-09,4,3.9410214
Nik Stauskas,21600963,2017-03-09,1,1.0653521
Tristan Thompson,21600960,2017-03-09,4,4.090945
Corey Brewer,21600964,2017-03-09,4,3.9175267
Jordan Clarkson,21600964,2017-03-09,3,2.502714
Victor Oladipo,21600962,2017-03-09,3,3.218428
DeMar DeRozan,21600979,2017-03-11,2,2.4322236
Richaun Holmes,21600963,2017-03-09,0,0.08628197
Troy Daniels,21600961,2017-03-09,1,1.0133483
Meyers Leonard,21600963,2017-03-09,2,2.096078
DeAndre Jordan,21600961,2017-03-09,0,0.08628197
Chris Paul,21600961,2017-03-09,7,7.850965
Kyrie Irving,21600960,2017-03-09,3,3.8301616
Semaj Christon,21600962,2017-03-09,3,2.9578774
Raymond Felton,21600961,2017-03-09,2,1.9435803
Jerami Grant,21600962,2017-03-09,0,0.0682255
Toney Douglas,21600961,2017-03-09,3,3.161884
Marreese Speights,21600961,2017-03-09,0,0.06851907
Tobias Harris,21600960,2017-03-09,2,1.8271426
Dario Saric,21600963,2017-03-09,1,1.1951078
Jahlil Okafor,21600963,2017-03-09,1,0.9493745
D'Angelo Russell,21600964,2017-03-09,4,3.9916344
Jusuf Nurkic,21600963,2017-03-09,8,6.332087
Ivica Zubac,21600964,2017-03-09,0,0.08628197
Jeremy Lin,21600971,2017-03-10,3,3.194202
Joffrey Lauvergne,21600966,2017-03-10,2,1.9492526
Markieff Morris,21600972,2017-03-10,2,1.7817112
Andre Iguodala,21600968,2017-03-10,1,1.0907172
Paul Millsap,21600969,2017-03-10,4,2.2831907
Michael Carter-Williams,21600966,2017-03-10,3,2.9272356
Trevor Booker,21600971,2017-03-10,3,3.0325003
Rondae Hollis-Jefferson,21600971,2017-03-10,0,0.554708
Ricky Rubio,21600968,2017-03-10,13,12.799742
David West,21600968,2017-03-10,1,1.0521258
Darrell Arthur,21600970,2017-03-10,1,1.0439525
Andrew Nicholson,21600971,2017-03-10,0,0.0682255
Evan Fournier,21600965,2017-03-10,2,1.899736
